epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.14167,0.98522,2.64875,1.31197,0.55859,0.85,0.87771,0.63475,1.65648,1.07003,1.37986,0,0,0
2,3.45411,1.03579,3.26262,1.38102,0.55588,0.85,0.88554,0.63516,1.66774,1.0676,1.38506,1.17822e-06,1.17822e-06,1.17822e-06
3,4.64337,1.37505,2.78215,1.77397,0.55098,0.85,0.84963,0.61708,1.68671,1.07687,1.39134,2.33288e-06,2.33288e-06,2.33288e-06
4,5.77265,1.49721,2.99924,2.07229,0.54808,0.85,0.85442,0.63765,1.69515,1.06934,1.39336,3.46397e-06,3.46397e-06,3.46397e-06
5,6.93221,1.4898,3.26926,1.93843,0.53904,0.85,0.8556,0.63813,1.67407,1.05046,1.36682,4.5715e-06,4.5715e-06,4.5715e-06
6,8.10597,1.176,2.70692,1.47858,0.81693,0.646,0.85883,0.6262,1.65404,1.04455,1.35421,5.65548e-06,5.65548e-06,5.65548e-06
7,9.28088,1.1614,2.38632,1.42416,0.55726,0.85,0.87301,0.62621,1.65402,1.04854,1.35584,6.71588e-06,6.71588e-06,6.71588e-06
8,10.463,0.97994,2.43846,1.23914,0.58022,0.86497,0.85958,0.62778,1.6564,1.06256,1.35944,7.75273e-06,7.75273e-06,7.75273e-06
9,11.6088,1.11779,3.69645,1.4757,0.77971,0.65,0.89436,0.62928,1.63646,1.03934,1.34381,8.76602e-06,8.76602e-06,8.76602e-06
10,12.7273,1.00046,2.41465,1.2426,0.77021,0.65,0.89449,0.63083,1.63839,1.04964,1.34342,9.75574e-06,9.75574e-06,9.75574e-06
11,14.0108,1.13121,2.81951,1.39543,0.65715,0.77833,0.90973,0.63379,1.63804,1.05205,1.34062,1.07219e-05,1.07219e-05,1.07219e-05
12,15.2848,0.89194,2.14993,1.28151,0.66051,0.7789,0.9117,0.64542,1.63992,1.07503,1.34134,1.16645e-05,1.16645e-05,1.16645e-05
13,16.4548,0.91014,1.89798,1.43243,0.6571,0.77767,0.91168,0.64752,1.62218,1.08022,1.32985,1.25835e-05,1.25835e-05,1.25835e-05
14,17.7173,0.99113,2.22285,1.38583,0.70586,0.74638,0.9126,0.65251,1.61063,1.08239,1.32718,1.3479e-05,1.3479e-05,1.3479e-05
15,18.8708,1.02513,1.86027,1.39371,0.70695,0.74835,0.91272,0.64828,1.61263,1.0918,1.32923,1.43509e-05,1.43509e-05,1.43509e-05
16,20.0733,1.0458,2.22403,1.56002,0.81053,0.65,0.9128,0.6314,1.6212,1.10346,1.332,1.51993e-05,1.51993e-05,1.51993e-05
17,21.222,0.93354,2.22574,1.34969,0.82547,0.65,0.91253,0.63304,1.63287,1.10481,1.33605,1.60241e-05,1.60241e-05,1.60241e-05
18,22.2713,1.14859,2.48762,1.46664,0.82547,0.65,0.91253,0.63304,1.63287,1.10481,1.33605,1.68253e-05,1.68253e-05,1.68253e-05
19,23.4319,1.05771,1.51404,1.27483,0.81452,0.65,0.91247,0.62523,1.63178,1.13546,1.33736,1.7603e-05,1.7603e-05,1.7603e-05
20,24.4323,1.00669,1.50779,1.28623,0.81452,0.65,0.91247,0.62523,1.63178,1.13546,1.33736,1.83571e-05,1.83571e-05,1.83571e-05
21,25.6567,1.16427,3.17929,1.50495,0.82456,0.65,0.91063,0.62685,1.6485,1.15266,1.34512,1.90876e-05,1.90876e-05,1.90876e-05
22,26.6889,0.97731,1.77282,1.49675,0.82456,0.65,0.91063,0.62685,1.6485,1.15266,1.34512,1.97946e-05,1.97946e-05,1.97946e-05
23,27.8031,1.04362,2.015,1.30418,0.82582,0.65,0.8548,0.61224,1.66729,1.20188,1.36238,2.0478e-05,2.0478e-05,2.0478e-05
24,28.8023,1.05516,1.65329,1.38174,0.82582,0.65,0.8548,0.61224,1.66729,1.20188,1.36238,2.11379e-05,2.11379e-05,2.11379e-05
25,30.002,0.88738,1.98452,1.2525,0.8284,0.65,0.85537,0.59995,1.69341,1.23785,1.37774,2.17741e-05,2.17741e-05,2.17741e-05
26,31.0007,0.96219,1.5997,1.39834,0.8284,0.65,0.85537,0.59995,1.69341,1.23785,1.37774,2.23869e-05,2.23869e-05,2.23869e-05
27,32.1598,0.89087,1.54234,1.23943,0.82713,0.65,0.855,0.59977,1.68313,1.25674,1.37771,2.2976e-05,2.2976e-05,2.2976e-05
28,33.1791,0.86523,1.50992,1.22523,0.82713,0.65,0.855,0.59977,1.68313,1.25674,1.37771,2.35417e-05,2.35417e-05,2.35417e-05
29,34.3978,1.21745,1.75724,1.42276,0.80069,0.65,0.85192,0.59888,1.67231,1.29104,1.37853,2.40837e-05,2.40837e-05,2.40837e-05
30,35.3944,0.78653,1.3745,1.14089,0.80069,0.65,0.85192,0.59888,1.67231,1.29104,1.37853,2.46022e-05,2.46022e-05,2.46022e-05
31,36.634,0.86357,1.45183,1.26578,0.79401,0.65,0.77451,0.52311,1.67064,1.33796,1.37743,2.50971e-05,2.50971e-05,2.50971e-05
32,37.6236,0.98388,1.37508,1.26707,0.79401,0.65,0.77451,0.52311,1.67064,1.33796,1.37743,2.55685e-05,2.55685e-05,2.55685e-05
33,38.8598,0.84494,1.55503,1.31341,0.78139,0.65,0.76681,0.52374,1.63956,1.35571,1.3617,2.60163e-05,2.60163e-05,2.60163e-05
34,39.8821,0.77393,1.42918,1.23982,0.78139,0.65,0.76681,0.52374,1.63956,1.35571,1.3617,2.64405e-05,2.64405e-05,2.64405e-05
35,41.1268,0.89965,1.48889,1.19415,0.78403,0.65,0.76668,0.52373,1.65709,1.4104,1.37296,2.68412e-05,2.68412e-05,2.68412e-05
36,42.1445,0.78048,1.42817,1.16035,0.78403,0.65,0.76668,0.52373,1.65709,1.4104,1.37296,2.72183e-05,2.72183e-05,2.72183e-05
37,43.5098,0.91358,1.35958,1.35778,0.77081,0.65,0.73602,0.49923,1.66352,1.4514,1.38458,2.75718e-05,2.75718e-05,2.75718e-05
38,44.6013,1.00035,1.69921,1.33715,0.77081,0.65,0.73602,0.49923,1.66352,1.4514,1.38458,2.79018e-05,2.79018e-05,2.79018e-05
39,46.0166,1.00564,2.11757,1.41684,0.65847,0.7,0.71479,0.478,1.6883,1.54084,1.3942,2.82082e-05,2.82082e-05,2.82082e-05
40,47.1137,1.04101,1.14352,1.45028,0.65847,0.7,0.71479,0.478,1.6883,1.54084,1.3942,2.84911e-05,2.84911e-05,2.84911e-05
41,48.5689,0.78963,1.2268,1.15397,0.64929,0.7,0.69972,0.48202,1.6895,1.59551,1.39343,2.87504e-05,2.87504e-05,2.87504e-05
42,49.6221,0.91531,1.2927,1.29867,0.64929,0.7,0.69972,0.48202,1.6895,1.59551,1.39343,2.89861e-05,2.89861e-05,2.89861e-05
43,51.0609,0.52566,2.46187,1.10737,0.56913,0.51338,0.58479,0.36817,1.70345,1.66586,1.39425,2.91983e-05,2.91983e-05,2.91983e-05
44,52.0481,0.92062,1.05869,1.26893,0.56913,0.51338,0.58479,0.36817,1.70345,1.66586,1.39425,2.93869e-05,2.93869e-05,2.93869e-05
45,53.4489,0.65443,0.89374,1.15776,0.59491,0.48333,0.52793,0.30228,1.70788,1.73588,1.39752,2.9552e-05,2.9552e-05,2.9552e-05
46,54.5723,0.93949,1.25883,1.43714,0.59491,0.48333,0.52793,0.30228,1.70788,1.73588,1.39752,2.96935e-05,2.96935e-05,2.96935e-05
47,56.0018,0.84336,0.85227,1.12152,0.58445,0.48333,0.52678,0.31076,1.72009,1.75568,1.41113,2.98114e-05,2.98114e-05,2.98114e-05
48,57.1276,0.73548,1.07178,1.13348,0.58445,0.48333,0.52678,0.31076,1.72009,1.75568,1.41113,2.99058e-05,2.99058e-05,2.99058e-05
49,58.5077,0.9234,1.15961,1.26188,0.59947,0.49839,0.52324,0.30762,1.74667,1.82153,1.42432,2.99766e-05,2.99766e-05,2.99766e-05
50,59.4677,0.83211,0.90687,1.18052,0.59947,0.49839,0.52324,0.30762,1.74667,1.82153,1.42432,3.00238e-05,3.00238e-05,3.00238e-05
51,60.8763,0.77677,1.05817,1.16021,0.59954,0.49882,0.52379,0.30668,1.75606,1.85544,1.42752,3.00475e-05,3.00475e-05,3.00475e-05
52,61.9268,0.83139,0.90092,1.17351,0.59954,0.49882,0.52379,0.30668,1.75606,1.85544,1.42752,3.00476e-05,3.00476e-05,3.00476e-05
53,62.8943,0.65726,0.78368,1.18618,0.59954,0.49882,0.52379,0.30668,1.75606,1.85544,1.42752,3.00242e-05,3.00242e-05,3.00242e-05
54,64.311,0.84263,1.17536,1.24146,0.76404,0.5,0.52511,0.3091,1.75219,1.89446,1.43326,2.99772e-05,2.99772e-05,2.99772e-05
55,65.4026,0.90374,0.77744,1.19153,0.76404,0.5,0.52511,0.3091,1.75219,1.89446,1.43326,2.99066e-05,2.99066e-05,2.99066e-05
56,66.4641,0.80612,1.04457,1.14468,0.76404,0.5,0.52511,0.3091,1.75219,1.89446,1.43326,2.98125e-05,2.98125e-05,2.98125e-05
57,67.9342,0.63545,0.85586,1.06603,0.74907,0.5,0.52487,0.30885,1.73216,1.89086,1.41981,2.96948e-05,2.96948e-05,2.96948e-05
58,69.0286,0.69737,0.72225,1.144,0.74907,0.5,0.52487,0.30885,1.73216,1.89086,1.41981,2.95535e-05,2.95535e-05,2.95535e-05
59,69.9996,0.83501,0.98487,1.24312,0.74907,0.5,0.52487,0.30885,1.73216,1.89086,1.41981,2.93887e-05,2.93887e-05,2.93887e-05
60,71.2709,1.00693,1.11077,1.41032,0.74943,0.5,0.52123,0.30709,1.75341,1.93728,1.43126,2.92003e-05,2.92003e-05,2.92003e-05
61,72.3991,0.62971,0.80386,1.09143,0.74943,0.5,0.52123,0.30709,1.75341,1.93728,1.43126,2.89884e-05,2.89884e-05,2.89884e-05
62,73.5101,0.66143,0.7221,1.12531,0.74943,0.5,0.52123,0.30709,1.75341,1.93728,1.43126,2.87529e-05,2.87529e-05,2.87529e-05
63,74.7669,1.35691,1.70128,1.77387,0.75033,0.5,0.51893,0.30182,1.70951,1.9781,1.41434,2.84938e-05,2.84938e-05,2.84938e-05
64,75.8751,0.79023,0.92645,1.14576,0.75033,0.5,0.51893,0.30182,1.70951,1.9781,1.41434,2.82112e-05,2.82112e-05,2.82112e-05
65,77.0198,0.87319,0.72916,1.15435,0.75033,0.5,0.51893,0.30182,1.70951,1.9781,1.41434,2.7905e-05,2.7905e-05,2.7905e-05
66,78.5254,0.7052,0.68927,1.15716,0.79153,0.5,0.5186,0.30469,1.74353,2.01168,1.42969,2.75753e-05,2.75753e-05,2.75753e-05
67,79.6044,0.67981,0.59487,1.04328,0.79153,0.5,0.5186,0.30469,1.74353,2.01168,1.42969,2.7222e-05,2.7222e-05,2.7222e-05
68,80.7019,0.90131,1.02559,1.2443,0.79153,0.5,0.5186,0.30469,1.74353,2.01168,1.42969,2.68451e-05,2.68451e-05,2.68451e-05
69,82.0155,0.73876,0.72471,1.15357,0.78775,0.5,0.51802,0.31004,1.75536,2.06244,1.43778,2.64447e-05,2.64447e-05,2.64447e-05
70,82.958,1.07711,1.23712,1.47781,0.78775,0.5,0.51802,0.31004,1.75536,2.06244,1.43778,2.60207e-05,2.60207e-05,2.60207e-05
71,83.9096,0.63013,0.66893,1.02454,0.78775,0.5,0.51802,0.31004,1.75536,2.06244,1.43778,2.55731e-05,2.55731e-05,2.55731e-05
72,85.3588,0.80964,0.60769,1.03994,0.80605,0.5,0.51425,0.29949,1.77533,2.11493,1.44897,2.5102e-05,2.5102e-05,2.5102e-05
73,86.5915,0.73818,0.8473,1.13908,0.80605,0.5,0.51425,0.29949,1.77533,2.11493,1.44897,2.46073e-05,2.46073e-05,2.46073e-05
74,87.9237,0.78187,0.76157,1.16404,0.80605,0.5,0.51425,0.29949,1.77533,2.11493,1.44897,2.40891e-05,2.40891e-05,2.40891e-05
75,89.366,0.8792,0.73765,1.3326,0.72342,0.44855,0.47486,0.29636,1.80243,2.23527,1.47791,2.35472e-05,2.35472e-05,2.35472e-05
76,90.4755,0.6959,0.66533,1.08188,0.72342,0.44855,0.47486,0.29636,1.80243,2.23527,1.47791,2.29819e-05,2.29819e-05,2.29819e-05
77,91.5269,0.70186,0.66808,1.1426,0.72342,0.44855,0.47486,0.29636,1.80243,2.23527,1.47791,2.23929e-05,2.23929e-05,2.23929e-05
78,92.8421,0.88948,1.08108,1.26302,0.69618,0.38242,0.46099,0.28178,1.83289,2.30725,1.51021,2.17805e-05,2.17805e-05,2.17805e-05
79,93.949,0.67392,0.66874,1.04965,0.69618,0.38242,0.46099,0.28178,1.83289,2.30725,1.51021,2.11444e-05,2.11444e-05,2.11444e-05
80,94.984,0.6361,0.58401,0.989,0.69618,0.38242,0.46099,0.28178,1.83289,2.30725,1.51021,2.04848e-05,2.04848e-05,2.04848e-05
81,96.3605,0.69561,0.88065,1.21169,0.69644,0.38279,0.46054,0.28857,1.82185,2.32893,1.50887,1.98016e-05,1.98016e-05,1.98016e-05
82,97.5399,0.62706,0.50924,1.08614,0.69644,0.38279,0.46054,0.28857,1.82185,2.32893,1.50887,1.90949e-05,1.90949e-05,1.90949e-05
83,98.65,0.72697,0.87128,1.13524,0.69644,0.38279,0.46054,0.28857,1.82185,2.32893,1.50887,1.83646e-05,1.83646e-05,1.83646e-05
84,100.085,0.49829,0.53762,1.0097,0.69457,0.37813,0.45833,0.28573,1.8204,2.24908,1.51477,1.76107e-05,1.76107e-05,1.76107e-05
85,101.173,0.67291,0.82714,1.06765,0.69457,0.37813,0.45833,0.28573,1.8204,2.24908,1.51477,1.68333e-05,1.68333e-05,1.68333e-05
86,102.456,0.92377,0.94563,1.43183,0.69457,0.37813,0.45833,0.28573,1.8204,2.24908,1.51477,1.60323e-05,1.60323e-05,1.60323e-05
