epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.275875,1.06595,3.85298,1.07084,0.0873,0.06548,0.0727,0.04272,1.67373,4.4436,1.35591,0,0,0
2,0.496917,1.15043,4.08537,1.14372,0.0873,0.06548,0.07421,0.04402,1.67387,4.44596,1.35449,1.17805e-06,1.17805e-06,1.17805e-06
3,0.634162,1.13194,4.05719,1.20128,0.0873,0.06548,0.07421,0.04402,1.66678,4.43993,1.34557,2.35221e-06,2.35221e-06,2.35221e-06
4,0.764477,1.31047,4.35456,1.17477,0.0873,0.06548,0.07421,0.04402,1.66714,4.45476,1.34508,3.52248e-06,3.52248e-06,3.52248e-06
5,0.92193,1.07283,4.00234,1.09095,0.09023,0.07143,0.07705,0.04653,1.66415,4.43956,1.33729,4.68885e-06,4.68885e-06,4.68885e-06
6,1.29638,1.16414,4.16678,1.18634,0.09023,0.07143,0.07808,0.04717,1.67191,4.42898,1.34121,5.85132e-06,5.85132e-06,5.85132e-06
7,1.44904,1.03597,3.9772,1.1598,0.07453,0.07143,0.07408,0.04448,1.67385,4.41865,1.34754,7.00991e-06,7.00991e-06,7.00991e-06
8,1.58843,1.16244,4.02695,1.19586,0.07453,0.07143,0.07408,0.04415,1.67018,4.41083,1.34479,8.1646e-06,8.1646e-06,8.1646e-06
9,1.72818,1.18627,4.05045,1.07693,0.07453,0.07143,0.07362,0.04388,1.67166,4.41584,1.34804,9.31539e-06,9.31539e-06,9.31539e-06
10,1.87083,1.11503,4.09832,1.17866,0.07453,0.07143,0.07362,0.04458,1.67671,4.41404,1.35281,1.04623e-05,1.04623e-05,1.04623e-05
11,2.0143,1.22769,4.12009,1.13278,0.07143,0.07143,0.07331,0.04431,1.68133,4.41748,1.35304,1.16053e-05,1.16053e-05,1.16053e-05
12,2.16122,1.05429,3.88089,1.06363,0.07143,0.07143,0.07407,0.04473,1.67146,4.39834,1.35051,1.27444e-05,1.27444e-05,1.27444e-05
13,2.30434,0.96468,3.81995,1.06909,0.07453,0.07143,0.07503,0.04535,1.66619,4.38838,1.33795,1.38796e-05,1.38796e-05,1.38796e-05
14,2.44686,1.01463,3.85035,1.0608,0.07453,0.07143,0.07587,0.04675,1.66085,4.37625,1.32959,1.5011e-05,1.5011e-05,1.5011e-05
15,2.59021,1.11401,3.93173,1.04916,0.07738,0.07738,0.07847,0.04672,1.66972,4.36562,1.32915,1.61384e-05,1.61384e-05,1.61384e-05
16,2.81899,1.0581,3.72841,1.11535,0.07738,0.07738,0.07958,0.04742,1.6853,4.36331,1.33743,1.72619e-05,1.72619e-05,1.72619e-05
17,2.96738,1.02613,3.99146,1.06513,0.07738,0.07738,0.08087,0.04743,1.69392,4.34958,1.34475,1.83816e-05,1.83816e-05,1.83816e-05
18,3.10681,1.06022,4.11313,1.05673,0.07738,0.07738,0.08087,0.04743,1.69392,4.34958,1.34475,1.94973e-05,1.94973e-05,1.94973e-05
19,3.25944,1.20225,3.86986,1.08287,0.07429,0.07738,0.08112,0.04736,1.70221,4.33611,1.34664,2.06092e-05,2.06092e-05,2.06092e-05
20,3.3953,1.02421,3.67387,1.07483,0.07429,0.07738,0.08112,0.04736,1.70221,4.33611,1.34664,2.17171e-05,2.17171e-05,2.17171e-05
21,3.53921,1.0118,3.91054,1.05158,0.07429,0.07738,0.08002,0.04808,1.71484,4.32372,1.35038,2.28212e-05,2.28212e-05,2.28212e-05
22,3.67727,1.07833,3.76847,1.07342,0.07429,0.07738,0.08002,0.04808,1.71484,4.32372,1.35038,2.39214e-05,2.39214e-05,2.39214e-05
23,3.83175,1.02129,3.86137,1.0496,0.06633,0.07738,0.07724,0.04659,1.70307,4.30793,1.34211,2.50177e-05,2.50177e-05,2.50177e-05
24,3.96238,1.17511,3.93414,1.10872,0.06633,0.07738,0.07724,0.04659,1.70307,4.30793,1.34211,2.611e-05,2.611e-05,2.611e-05
25,4.10816,0.99334,3.72501,1.10706,0.06404,0.07738,0.08144,0.04948,1.71501,4.29714,1.35189,2.71985e-05,2.71985e-05,2.71985e-05
26,4.24802,1.01751,3.78081,1.04578,0.06404,0.07738,0.08144,0.04948,1.71501,4.29714,1.35189,2.82831e-05,2.82831e-05,2.82831e-05
27,4.39777,0.90438,3.81104,1.06871,0.06404,0.07738,0.07732,0.0463,1.70697,4.27279,1.34606,2.93638e-05,2.93638e-05,2.93638e-05
28,4.62324,0.91585,3.64012,0.98952,0.06404,0.07738,0.07732,0.0463,1.70697,4.27279,1.34606,3.04406e-05,3.04406e-05,3.04406e-05
29,4.76561,0.96379,3.74662,1.09149,0.0625,0.08333,0.08286,0.05035,1.7164,4.24372,1.34657,3.15136e-05,3.15136e-05,3.15136e-05
30,4.90983,0.93848,3.49248,1.09326,0.0625,0.08333,0.08286,0.05035,1.7164,4.24372,1.34657,3.25826e-05,3.25826e-05,3.25826e-05
31,5.0629,1.09893,3.60505,1.14251,0.06061,0.08333,0.08229,0.04899,1.71794,4.21672,1.34465,3.36477e-05,3.36477e-05,3.36477e-05
32,5.19528,1.08431,3.84204,1.0359,0.06061,0.08333,0.08229,0.04899,1.71794,4.21672,1.34465,3.47089e-05,3.47089e-05,3.47089e-05
33,5.34267,1.16309,3.62258,1.14507,0.05882,0.08333,0.0797,0.04649,1.71807,4.20789,1.35773,3.57663e-05,3.57663e-05,3.57663e-05
34,5.4754,0.98607,3.7026,1.03138,0.05882,0.08333,0.0797,0.04649,1.71807,4.20789,1.35773,3.68197e-05,3.68197e-05,3.68197e-05
35,5.62313,1.05434,3.83342,1.06056,0.05952,0.08929,0.07888,0.04455,1.72983,4.17733,1.36006,3.78693e-05,3.78693e-05,3.78693e-05
36,5.7596,0.93431,3.6901,1.02126,0.05952,0.08929,0.07888,0.04455,1.72983,4.17733,1.36006,3.89149e-05,3.89149e-05,3.89149e-05
37,5.90342,0.84526,3.43567,1.02332,0.05792,0.08929,0.07929,0.04436,1.72889,4.1574,1.34744,3.99567e-05,3.99567e-05,3.99567e-05
38,6.13153,0.95345,3.31595,1.06053,0.05792,0.08929,0.07929,0.04436,1.72889,4.1574,1.34744,4.09946e-05,4.09946e-05,4.09946e-05
39,6.27402,0.88169,3.48668,1.05822,0.06015,0.09524,0.08007,0.04446,1.74414,4.13553,1.36625,4.20285e-05,4.20285e-05,4.20285e-05
40,6.4062,0.99807,3.56951,1.02606,0.06015,0.09524,0.08007,0.04446,1.74414,4.13553,1.36625,4.30586e-05,4.30586e-05,4.30586e-05
41,6.54993,1.01973,3.44545,1.01753,0.05861,0.09524,0.07819,0.0439,1.77883,4.13871,1.39363,4.40848e-05,4.40848e-05,4.40848e-05
42,6.68658,0.99535,3.44071,1.04801,0.05861,0.09524,0.07819,0.0439,1.77883,4.13871,1.39363,4.51071e-05,4.51071e-05,4.51071e-05
43,6.83247,0.91822,3.26859,1.03424,0.05782,0.10119,0.07888,0.04323,1.77288,4.13374,1.39592,4.61255e-05,4.61255e-05,4.61255e-05
44,6.97118,0.90502,3.51592,1.04417,0.05782,0.10119,0.07888,0.04323,1.77288,4.13374,1.39592,4.714e-05,4.714e-05,4.714e-05
45,7.11818,1.08957,3.58608,1.06974,0.05519,0.10119,0.0775,0.0433,1.75489,4.11629,1.38993,4.81506e-05,4.81506e-05,4.81506e-05
46,7.24811,1.006,3.37952,1.05336,0.05519,0.10119,0.0775,0.0433,1.75489,4.11629,1.38993,4.91573e-05,4.91573e-05,4.91573e-05
47,7.39833,1.02096,3.34153,0.9978,0.05397,0.10119,0.07764,0.04346,1.75283,4.11136,1.38811,5.01601e-05,5.01601e-05,5.01601e-05
48,7.53405,1.1242,3.38663,1.02836,0.05397,0.10119,0.07764,0.04346,1.75283,4.11136,1.38811,5.11591e-05,5.11591e-05,5.11591e-05
49,7.76635,1.00909,3.3315,1.04231,0.0506,0.10119,0.07633,0.04279,1.76299,4.08568,1.39782,5.21541e-05,5.21541e-05,5.21541e-05
50,7.90012,0.94218,3.09031,1.0311,0.0506,0.10119,0.07633,0.04279,1.76299,4.08568,1.39782,5.31453e-05,5.31453e-05,5.31453e-05
51,8.04172,0.88077,3.13713,1.01006,0.0506,0.10119,0.07445,0.04419,1.77954,4.06641,1.41267,5.41325e-05,5.41325e-05,5.41325e-05
52,8.17443,1.13428,3.24672,1.09728,0.0506,0.10119,0.07445,0.04419,1.77954,4.06641,1.41267,5.51159e-05,5.51159e-05,5.51159e-05
